product_prices,product_page_links,product_ids,image_links
39.99,/en_ca/productpage.0734916010.html,734916010,"//lp2.hm.com/hmgoepprod?set=source[/06/dc/06dc969a4d1c843fccd8530b09bfaaeaaa020757.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
15.99,/en_ca/productpage.1073575001.html,1073575001,"//lp2.hm.com/hmgoepprod?set=source[/ce/18/ce18f93911f76282f76dc42836283642e0e44fa2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
32.99,/en_ca/productpage.1119960001.html,1119960001,"//lp2.hm.com/hmgoepprod?set=source[/2f/cb/2fcb3dfc39df0589d899eaa52057ecc08e02c9a7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
35.99,/en_ca/productpage.1113528001.html,1113528001,"//lp2.hm.com/hmgoepprod?set=source[/30/21/302118dfcc067be4ba10a73bab270e76ff754d4b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
35.99,/en_ca/productpage.1113528002.html,1113528002,"//lp2.hm.com/hmgoepprod?set=source[/bc/59/bc5953b5d558de4bcacefa692c87cdf78463c921.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
74.99,/en_ca/productpage.0882037013.html,882037013,"//lp2.hm.com/hmgoepprod?set=source[/2a/63/2a63d692bc1c7f21b86dbd61f57858ce6629ff84.jpg],origin[dam],category[kids_baby_girl_outerwear_snowsuits],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
32.99,/en_ca/productpage.0932172018.html,932172018,"//lp2.hm.com/hmgoepprod?set=source[/c6/e4/c6e444808d3808034ce3d4093523ad4bb03d08f2.jpg],origin[dam],category[kids_baby_boy_outerwear_snowsuits],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.1127071001.html,1127071001,"//lp2.hm.com/hmgoepprod?set=source[/6a/e1/6ae13495c16160d40d1ac83d99161e2c1ad850ac.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
30.99,/en_ca/productpage.1113517001.html,1113517001,"//lp2.hm.com/hmgoepprod?set=source[/db/cc/dbccca366192986cdec3ea036d91d07adf908ec8.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
29.99,/en_ca/productpage.1121082002.html,1121082002,"//lp2.hm.com/hmgoepprod?set=source[/0d/83/0d83ab44b6dcf7b59dba551c56fd8773fc06c277.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
24.99,/en_ca/productpage.1127071002.html,1127071002,"//lp2.hm.com/hmgoepprod?set=source[/7a/31/7a31fd11b1be5d97eb2529b2c41f515432609fb6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
